;meta[language=en]
; id      |key(hex)|key(str)| text
;
; comment lines use ; as first character
; all comment lines (except the two line header) will be ignored
;
2110365000|        |panel_Mods|Mods
2110365001|        |panel_friendly_hud|Friendly HUD
2110365002|        |panel_fhud_hud|HUD
2110365003|        |option_fhud_enableCombatModules|戰鬥模塊
2110365004|        |option_fhud_enableCombatModulesOnUnsheathe|拔劍時啟用戰鬥模塊
2110365005|        |option_fhud_enableWolfModuleOnVitalityChanged|活力值變化時顯示血條
2110365006|        |option_fhud_enableWitcherSensesModules|巫師感官模塊（需在游戲設置關閉小地圖和當前任務）
2110365007|        |option_fhud_enableMeditationModules|冥想模塊（需要Friendly Meditation MOD）
2110365008|        |option_fhud_enableRadialMenuModules|輪盤菜單模塊
2110365009|        |panel_fhud_markers|3D標記
2110365010|        |option_fhud_3DMarkersEnabled|啟用3D標記
2110365011|        |option_fhud_compassMarkersEnabled|啟用羅盤
2110365012|        |option_fhud_project3DMarkersOnCompass|在羅盤上顯示3D標記
2110365014|        |panel_fhud_quick_items|快捷物品欄
2110365015|        |option_fhud_enableItemsInRadialMenu|在輪盤中啟用快捷物品欄
2110365016|        |option_fhud_enableWASD|啟用方向鍵選擇
2110365017|        |option_fhud_applyOilToDrawnSword|已拔出的劍自動上油
2110365018|        |option_fhud_allowOilsInCombat|允許戰鬥中上油
2110365019|        |option_fhud_radialMenuTimescale|按住輪盤菜單熱鍵使游戲進入慢動作的速率
2110365031|        |panel_fhud_interactions|互動
2110365036|        |option_fhud_disableAllInteractionPrompts|隱藏所有互動提示按鈕
2110365038|        |panel_fhud_misc|雜項
2110365040|        |option_fhud_doNotShowDamage|隱藏浮動傷害文字
2110365041|        |option_fhud_doNotShowLevels|隱藏敵人等級
2110365042|        |option_fhud_dontTouchMySwords|禁用雙劍切換和自動收劍
2110365046|        |option_fhud_fadeOutTimeSeconds|隱藏模塊延遲 (秒)
2110365049|        |panel_fhud_map|區域地圖和小地圖
2110365050|        |option_fhud_mapUnlimitedZoom|區域地圖無限縮放
2110365051|        |option_fhud_mapZoomMinCoef|區域地圖最小縮放
2110365052|        |option_fhud_mapZoomMaxCoef|區域地圖最大縮放
2110365053|        |option_fhud_minimapZoomExterior|室外小地圖縮放
2110365054|        |option_fhud_minimapZoomInterior|室內小地圖縮放
2110365055|        |option_fhud_minimapZoomBoat|船上小地圖縮放
2110365056|        |option_fhud_defaultDisplayMode|快捷物品欄默認顯示
2110365057|        |preset_value_fhud_displayMode_potions|藥水
2110365058|        |preset_value_fhud_displayMode_bombs|炸彈
2110365059|        |preset_value_fhud_displayMode_oils|劍油
2110365060|        |preset_value_fhud_displayMode_buffs|增益效果
2110365061|        |option_fhud_cycleThroughBuffs|為快捷物品欄增加BUFF顯示頁面（按Q以快速切換）
2110365062|        |PauseGameToggle|暫定游戲
2110365063|        |PinModuleModfier|圖釘鍵（同時按下圖釘鍵和其他HUD熱鍵以使其總是顯示）
2110365066|        |SwitchCrossbow|切換 十字弩/炸彈
2110365068|        |ToggleEssentials|總是顯示所有HUD 開/關
2110365070|        |preset_value_fhud_markersDisplayMode_ws|巫師感官時顯示
2110365071|        |preset_value_fhud_markersDisplayMode_always|總是顯示
2110365072|        |preset_value_fhud_markersDisplayMode_never|從不顯示
2110365073|        |option_fhud_showItemsInSlowdownMode|在慢速模式下顯示快捷物品欄
2110365074|        |option_fhud_wSensesSwitch|巫師感官變為開關模式（該功能已刪除）
2110365075|        |option_fhud_defaultInventoryTab|打開背包時默認顯示
2110365076|        |preset_value_fhud_defaultInventoryTab_Equipment|裝備
